Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:ordsets.union1/2                                                   74       0.194       0.154     
:filename.unix_splitb/1                                              6       0.193       0.033     
:filename.flatten/1                                                 10       0.193       0.020     
:beam_trim.safe_labels/2                                            66       0.191       0.107     
:erl_expand_records.clauses/2                                        8       0.190       0.047     
:elixir_compiler.beam_location/1                                     2       0.190       0.008     
:cerl_clauses.match/2                                               13       0.189       0.024     
:gb_sets.balance_list/2                                             29       0.188       0.081     
:beam_bs.bs_put_opt/1                                               69       0.188       0.188     
:beam_bool.bopt_reverse/2                                           69       0.188       0.188     
:elixir_compiler.get_opt/1                                          15       0.186       0.094     
:beam_clean.rootset/3                                                2       0.186       0.018     
:v3_life.use_vars/3                                                 47       0.185       0.112     
:sys_core_fold.case_opt_arg/4                                        4       0.183       0.022     
:erl_anno.line/1                                                    49       0.183       0.132     
:sys_core_fold.call/4                                                9       0.182       0.017     
:elixir_lexical.dest/1                                               2       0.182       0.005     
:ordsets.is_element/2                                              118       0.181       0.181     
:erlang.md5/1                                                        2       0.181       0.017     
:v3_core.head/2                                                      9       0.180       0.016     
:gb_sets.insert/2                                                   19       0.180       0.061     
:beam_dict.import/4                                                  5       0.180       0.059     
:dict.get_slot/2                                                    41       0.179       0.118     
:v3_kernel.umatch_list/3                                             4       0.177       0.008     
:v3_core.cexprs/3                                                   16       0.177       0.097     
anonymous fn/2 in :sets.from_list/1                                  7       0.177       0.011     
Kernel.LexicalTracker.dest/1                                         2       0.177       0.009     
:sys_pre_expand.make_bit_type/3                                      6       0.176       0.027     
:beam_validator.get_term_type/2                                     19       0.176       0.056     
:beam_lib.chunks_to_data/7                                           2       0.176       0.022     
:sofs.rel/3                                                         11       0.175       0.038     
:v3_core."-cclauses/3-anonymous-0-"/3                                9       0.174       0.015     
:sys_core_fold.pattern_list/2                                       10       0.174       0.016     
:proc_lib.sync_wait/2                                                1       0.174       0.003     
:beam_validator.init_state/1                                         7       0.174       0.045     
:filename.do_flatten/2                                              58       0.173       0.156     
:cerl_clauses.match/3                                               15       0.173       0.044     
:beam_bs.bsm_scan/4                                                 69       0.173       0.146     
:beam_jump."-function/1-anonymous-0-"/2                             60       0.172       0.088     
:dict.fetch/2                                                       14       0.170       0.069     
:beam_dead.move_move_into_block/2                                   78       0.170       0.127     
:v3_kernel.pattern_list/3                                           12       0.169       0.017     
:compile.test_core_inliner/1                                         4       0.168       0.014     
:v3_kernel.select/2                                                 18       0.167       0.032     
:sys_core_fold."-var_list/2-anonymous-0-"/2                          8       0.167       0.014     
:beam_dead.forward/4                                                72       0.167       0.155     
:sets.add_element/2                                                  7       0.166       0.025     
:v3_kernel."-umatch_list/3-anonymous-0-"/3                           5       0.165       0.020     
:sys_core_fold.call_1/5                                              9       0.165       0.062     
:beam_utils.code_at/2                                               29       0.165       0.042     
:beam_bs.bsm_opt_2/2                                                69       0.165       0.137     
:v3_kernel."-match_value/5-anonymous-0-"/4                           3       0.164       0.005     
:v3_core.pattern_list/2                                             16       0.164       0.042     
:erl_lint.define_function/4                                          3       0.164       0.041     
:zlib.compress/1                                                     1       0.163       0.011     
:erl_anno.set_generated/2                                            9       0.163       0.015     
:v3_core.new_var/2                                                   8       0.161       0.049     
:v3_kernel.match_clause/4                                            3       0.159       0.033     
:io_lib_format.scan/2                                                2       0.159       0.004     
:beam_clean.bs_clean_saves_1/3                                      69       0.159       0.131     
:v3_life."-type_clause/5-lc$^0/1-0-"/5                               5       0.158       0.027     
:sys_core_fold.pattern_list/3                                       10       0.158       0.020     
:lists.sort/1                                                       75       0.156       0.092     
:erl_lint.includes_qlc_hrl/2                                         2       0.156       0.010     
:erl_lint.check_inlines/2                                            2       0.156       0.004     
:io_lib_format.collect/2                                            25       0.155       0.074     
:sofs.is_type/1                                                     41       0.154       0.057     
:v3_kernel.pattern_list/4                                           12       0.152       0.021     
:v3_kernel."-uexpr/3-anonymous-15-"/2                               10       0.152       0.033     
:beam_lib.chunk_to_data/6                                            1       0.152       0.003     
:compile.passes_1/1                                                 11       0.151       0.058     
:beam_validator.get_term_type_1/2                                   30       0.151       0.081     
:erl_lint.expr/3                                                     8       0.150       0.018     
:erl_bits.apply_defaults/5                                          41       0.150       0.104     
:beam_validator.validate_fun_info_branches/3                        14       0.150       0.062     
:v3_core.new_vars/2                                                  7       0.149       0.035     
:erl_lint.check_bif_clashes/2                                        2       0.149       0.003     
:beam_lib.symbols/4                                                  1       0.149       0.005     
:v3_codegen.need_heap_0/3                                           35       0.148       0.111     
:erl_lint."-check_option_functions/4-lc$^0/1-0-"/2                  42       0.148       0.081     
:gb_sets.is_element/2                                               19       0.146       0.032     
:dict.find/2                                                        11       0.146       0.056     
:erl_lint."-includes_qlc_hrl/2-lc$^0/1-0-"/1                        14       0.144       0.028     
:beam_type.tdb_copy/3                                               22       0.142       0.080     
:beam_lib.ensure_atoms/2                                             1       0.140       0.005     
:lists.dropwhile/2                                                  28       0.139       0.105     
:sys_core_fold.case_will_var_match/1                                 4       0.138       0.008     
:sys_core_fold.will_match/2                                         10       0.137       0.028     
:io_lib_format.control/9                                             4       0.137       0.014     
:erl_anno.anno_info/2                                               28       0.137       0.081     
:beam_block.collect_block/2                                         23       0.137       0.088     
:sys_core_fold.opt_bool_case/1                                      17       0.136       0.053     
:erl_lint.behaviour_conflicting/2                                    2       0.136       0.023     
:v3_kernel."-select/2-lc$^0/1-0-"/2                                 45       0.135       0.106     
:v3_codegen."-clear_dead_reg/3-lc$^0/1-0-"/3                        44       0.135       0.089     
:erl_lint.export/3                                                   2       0.134       0.009     
anonymous fn/4 in :erl_lint.bool_option/4                          126       0.134       0.134     
:beam_lib.extract_atoms/2                                            1       0.134       0.002     
:compile."-core_passes/0-anonymous-5-"/1                             2       0.133       0.003     
:beam_trim.trim/3                                                   66       0.132       0.107     
:beam_lib.extract_atoms/3                                            8       0.132       0.040     
:beam_dict.atom/2                                                   41       0.132       0.100     
:beam_clean.bs_replace/3                                            66       0.132       0.107     
:v3_life.val_clause/5                                                3       0.131       0.034     
:filename.basename/2                                                 2       0.131       0.020     
:sys_core_dsetel."-visit/2-anonymous-2-"/2                           5       0.130       0.010     
:gb_trees.lookup_1/2                                                86       0.130       0.130     
:compile.test_any_inliner/1                                          2       0.130       0.006     
:beam_bsm.btb_opt_1/3                                               66       0.130       0.103     
:sofs.is_types/2                                                    39       0.127       0.093     
:v3_codegen.new_label/1                                             32       0.126       0.089     
:beam_validator.verify_call_args/3                                   5       0.126       0.014     
:beam_receive.opt/3                                                 66       0.126       0.099     
:beam_type.flt_liveness/1                                            8       0.125       0.018     
:elixir_code_server.call/1                                           3       0.124       0.005     
:beam_bsm.btb_index_1/2                                              9       0.124       0.040     
:lists.usplit_2_1/6                                                  6       0.123       0.011     
:sys_core_fold.sub_del_var/2                                        12       0.122       0.075     
:v3_kernel.lit_vars/1                                               19       0.121       0.027     
:erl_anno.new/1                                                     43       0.121       0.073     
:beam_clean.label/2                                                 16       0.121       0.039     
:proplists.get_value/2                                              13       0.120       0.039     
:v3_codegen.order_moves/3                                           23       0.119       0.088     
:lists.last/1                                                        8       0.119       0.010     
:gb_sets.insert_1/3                                                 52       0.119       0.119     
:erl_lint.vtupdate/2                                                30       0.118       0.052     
:beam_dict."-atom_table/1-lc$^0/1-0-"/1                             16       0.118       0.101     
:v3_codegen.clear_dead_stk/3                                        42       0.117       0.073     
:gb_trees.get_1/2                                                   83       0.116       0.116     
:filename.basename/1                                                 2       0.116       0.014     
:filename."-unix_splitb/1-lc$^0/1-0-"/1                             36       0.116       0.116     
:cerl_sets.is_element/2                                            101       0.116       0.116     
:v3_core.pattern/2                                                   6       0.115       0.022     
:lists.umergel/3                                                    22       0.115       0.041     
:erlang.erase/1                                                     14       0.115       0.020     
:filename.dirname/1                                                  2       0.114       0.012     
:elixir_utils.characters_to_list/1                                   4       0.114       0.018     
:v3_kernel."-group_value/2-anonymous-0-"/2                           3       0.113       0.011     
:cerl_clauses.match_1/3                                              8       0.113       0.046     
:v3_core.new_var_name/1                                              8       0.112       0.053     
:beam_validator.verify_call_args_1/2                                13       0.112       0.034     
:beam_lib.extract_atom/1                                            10       0.112       0.069     
:v3_kernel.force_atomic/2                                           26       0.111       0.072     
:beam_dict.opcode/2                                                 59       0.111       0.087     
:beam_block.embed_lines/2                                           71       0.111       0.111     
:beam_jump.is_exit_instruction/1                                    82       0.110       0.100     
:lists.last/2                                                       69       0.109       0.109     
:beam_validator.labels_1/2                                          35       0.109       0.091     
:beam_dict.literal_table/1                                           2       0.109       0.014     
:beam_asm.build_line_table/1                                         2       0.109       0.022     
:v3_kernel.match_pre/3                                               2       0.108       0.003     
:ordsets.intersection/2                                             72       0.108       0.108     
anonymous fn/3 in :erl_lint.export/3                                 3       0.108       0.013     
:elixir_locals.ensure_no_import_conflict/4                           1       0.108       0.002     
:gb_sets.balance_list_1/2                                           53       0.107       0.107     
:dict.fold_bucket/3                                                 70       0.107       0.084     
:beam_type.flt_liveness_1/3                                         19       0.107       0.057     
:lists.keysort/2                                                    39       0.106       0.047     
:sys_core_fold."-case_will_var_match/1-anonymous-0-"/1               6       0.105       0.022     
:beam_block.collect/1                                               87       0.105       0.105     
:gb_trees.to_list/1                                                 13       0.104       0.026     
:beam_asm.encode/2                                                  94       0.104       0.104     
:compile."-standard_passes/0-anonymous-0-"/1                         2       0.103       0.005     
:beam_a.rename_instr/1                                              78       0.103       0.090     
:proplists.get_value/3                                              58       0.102       0.102     
:erl_lint.not_deprecated/2                                           2       0.102       0.023     
:sys_core_fold.update_types/3                                       10       0.101       0.043     
:beam_utils.x_live/2                                                64       0.101       0.101     
:v3_core.new_vars/3                                                  7       0.100       0.011     
:beam_block.opt_moves/2                                             14       0.100       0.041     
:sets.fold_bucket/3                                                 96       0.099       0.099     
:lists.keyfind/3                                                    86       0.099       0.099     
:gb_trees.is_defined_1/2                                            71       0.099       0.099     
:beam_type.opt_fmoves/2                                             35       0.099       0.069     
Module.LocalsTracker.unreachable/2                                   1       0.099       0.009     
:io_lib_format.cdata_to_chars/1                                     39       0.098       0.091     
:dict.new/0                                                         24       0.098       0.073     
:compile.transform_module/1                                          2       0.098       0.015     
:beam_block.opt_alloc/1                                             28       0.098       0.078     
Module.LocalsTracker.init/1                                          1       0.098       0.004     
:zlib.call/3                                                         3       0.097       0.014     
:elixir_module."-do_compile/5-after$^1/0-0-"/5                       1       0.097       0.005     
:os.type/0                                                          18       0.096       0.074     
anonymous fn/4 in :elixir_locals.ensure_no_import_conflict/4         1       0.096       0.005     
:beam_clean.update_work_list/2                                      66       0.096       0.096     
:sys_core_fold.let_substs_1/3                                       10       0.095       0.016     
:sets.subtract/2                                                     1       0.095       0.002     
:dict.from_list/1                                                    2       0.094       0.007     
:sets.filter/2                                                       1       0.093       0.002     
:erl_lint.check_unused_types/2                                       2       0.093       0.018     
:dict.append/3                                                       3       0.093       0.014     
:beam_jump.is_unreachable_after/1                                   50       0.093       0.064     
:beam_dead.shortcut_rel_op/4                                         4       0.093       0.013     
:sys_core_fold."-case_opt/3-lc$^0/1-0-"/1                           23       0.092       0.072     
:beam_validator.init_regs/2                                          7       0.092       0.037     
:beam_lib.build_module/1                                             1       0.092       0.003     
:beam_asm.finalize_fun_table/2                                       2       0.092       0.010     
:v3_kernel.partition/1                                               6       0.091       0.026     
:v3_codegen.gen_moves/2                                             10       0.091       0.017     
:sets.filter_set/2                                                   1       0.091       0.007     
:lists.flatten/1                                                    14       0.091       0.025     
:gb_trees.update/3                                                  17       0.091       0.051     
:erl_lint.check_specs_without_function/1                             2       0.091       0.005     
:beam_jump.eliminate_fallthroughs/2                                 59       0.091       0.091     
:compile."-core_passes/0-anonymous-3-"/1                             2       0.090       0.004     
Module.LocalsTracker.collect_imports_conflicts/2                     1       0.090       0.005     
:sets.on_bucket/3                                                    7       0.089       0.047     
:erl_lint.disallowed_compile_flags/2                                 2       0.089       0.019     
:beam_dict.literal/2                                                 2       0.089       0.010     
:v3_kernel."-match_pre/3-anonymous-0-"/3                             5       0.088       0.014     
:sys_core_fold."-let_substs/3-anonymous-1-"/2                        4       0.088       0.006     
:erl_lint.head/3                                                     5       0.088       0.009     
:beam_lib.build_chunks/1                                            12       0.088       0.045     
:sys_core_fold."-pattern_list/3-anonymous-0-"/3                      7       0.087       0.010     
:compile.test_old_inliner/1                                          4       0.087       0.007     
:cerl.ann_c_tuple/2                                                  9       0.087       0.043     
:sys_core_fold.shadow_warning/2                                     13       0.086       0.026     
:erlang.term_to_binary/2                                             3       0.086       0.086     
:beam_type.flt_need_heap_2/3                                        27       0.086       0.065     
:beam_clean.make_save_point_dict/2                                   7       0.086       0.022     
:v3_kernel."-pattern_list/4-anonymous-0-"/3                          9       0.085       0.024     
:v3_core.lit_vars/2                                                 37       0.085       0.052     
:v3_core."-attribute/1-anonymous-0-"/1                              23       0.085       0.061     
:erl_lint.expr_bin/4                                                 1       0.085       0.003     
:erl_bits.merge_field/3                                             72       0.085       0.085     
:sets.is_element/2                                                   7       0.084       0.032     
:dict.maybe_expand/2                                                15       0.084       0.026     
:elixir_config.get/1                                                17       0.083       0.051     
:v3_codegen.basic_block/2                                           11       0.082       0.032     
:sys_core_fold.sub_set_name/3                                        4       0.082       0.043     
:sys_core_fold.sub_add_scope/2                                      10       0.082       0.048     
:sys_core_fold.simplify_let/2                                       10       0.082       0.047     
:erl_lint.check_deprecated/2                                         2       0.082       0.012     
:erl_lint."-check_option_functions/4-lc$^1/1-1-"/4                  12       0.082       0.022     
:orddict.merge/3                                                    45       0.081       0.059     
:erl_lint.local_functions/1                                          2       0.081       0.006     
:sys_core_fold.let_subst_list/3                                     14       0.079       0.044     
:erlang.port_control/3                                               3       0.079       0.008     
:erl_lint.head/4                                                     9       0.079       0.033     
:beam_utils.x_dead/2                                                49       0.079       0.079     
:gb_trees.to_list/2                                                 33       0.078       0.078     
:erl_anno.reset_simplify/1                                          28       0.078       0.045     
:beam_asm."-finalize_fun_table/2-lc$^0/1-0-"/2                      14       0.078       0.064     
:sets.filter_seg_list/4                                              2       0.077       0.008     
:lists.duplicate/2                                                  14       0.077       0.022     
anonymous fn/4 in :erl_lint.expr_bin/4                               1       0.077       0.002     
:beam_dict.export/4                                                  7       0.077       0.032     
:beam_block.opt_tuple_element/1                                     32       0.077       0.077     
:gb_sets.empty/0                                                    72       0.076       0.076     
:io_lib_format.collect_cseq/2                                        4       0.075       0.035     
:erl_lint.bin_element/4                                              1       0.075       0.011     
:erl_anno.location/1                                                72       0.075       0.075     
:v3_kernel.select_bin_con/1                                          2       0.074       0.006     
:v3_codegen.gen_moves/4                                             24       0.074       0.042     
Module.LocalsTracker.reduce_unreachable/3                            1       0.074       0.002     
:dict.get_bucket/2                                                  26       0.073       0.044     
:ordsets.subtract/2                                                 57       0.072       0.072     
:lists.partition/2                                                   8       0.072       0.017     
:erl_expand_records.exprs/2                                         10       0.072       0.027     
:beam_z.undo_rename/1                                               52       0.072       0.072     
:v3_core."-used_in_any/1-anonymous-0-"/2                            25       0.071       0.044     
:erts_internal.port_control/3                                        3       0.071       0.071     
:elixir_module.functions_form/9                                      1       0.071       0.006     
:elixir_errors.warn/1                                                1       0.071       0.005     
:sets.union/2                                                        1       0.070       0.002     
:erl_anno.is_settable/2                                             28       0.070       0.048     
:cerl.get_ann/1                                                     63       0.070       0.070     
:beam_utils.live_join_labels/3                                      12       0.070       0.033     
:v3_codegen.move_unsaved/3                                          10       0.069       0.043     
:erlang.phash/2                                                     55       0.069       0.069     
anonymous fn/2 in :dict.from_list/1                                  2       0.069       0.005     
:compile."-messages_per_file/1-anonymous-3-"/2                       6       0.069       0.013     
:beam_opcodes.opcode/2                                              59       0.069       0.069     
IO.chardata_to_string/1                                             12       0.069       0.019     
:v3_codegen.local_func_label/2                                       7       0.068       0.033     
:elixir_module.specs_form/5                                          1       0.068       0.016     
:beam_dead.shortcut_select_list/4                                    3       0.068       0.008     
:sys_core_fold.is_bool_expr/2                                        7       0.067       0.021     
:maps.find/2                                                        58       0.067       0.067     
:gb_trees.keys/1                                                     7       0.067       0.014     
:beam_asm."-build_file/8-lc$^0/1-0-"/1                              14       0.067       0.053     
:sets.filter_bkt_list/4                                             17       0.066       0.046     
:beam_lib.del_chunk/2                                               18       0.066       0.026     
:v3_core.force_safe/2                                               18       0.065       0.045     
:erl_lint.check_unused_vars/3                                        5       0.065       0.016     
:erl_lint."-start/2-lc$^0/1-0-"/1                                   30       0.065       0.065     
:beam_dict.line_table/1                                              2       0.065       0.033     
:beam_clean."-replace/3-anonymous-0-"/2                             12       0.064       0.022     
:beam_asm.chunk/3                                                   13       0.064       0.032     
:zlib.deflateInit/2                                                  1       0.063       0.003     
:v3_kernel.op_vars/1                                                 6       0.063       0.021     
:lists.flatmap/2                                                     7       0.063       0.033     
:erl_lint.nowarn_function/2                                          4       0.063       0.014     
:erl_lint.bif_clashes/2                                              2       0.063       0.019     
:beam_validator.get_move_term_type/2                                11       0.063       0.032     
:proplists.get_bool/2                                               40       0.062       0.062     
:v3_kernel.pattern/4                                                 9       0.061       0.040     
:v3_codegen.enter_line/3                                             6       0.060       0.027     
:sys_core_fold.guard/2                                              10       0.060       0.037     
:sys_core_fold.add_warning/2                                         6       0.060       0.019     
:erlang.binary_to_list/1                                            38       0.060       0.060     
:erl_anno.to_term/1                                                 42       0.060       0.060     
:elixir_module.add_info_function/6                                   1       0.060       0.008     
:compile.standard_passes/0                                           2       0.060       0.008     
:beam_dict.line/2                                                   12       0.060       0.040     
:lists.keysplit_1/8                                                  9       0.059       0.017     
:lists.do_flatten/2                                                 28       0.059       0.059     
:beam_validator.validate_fun_info_branches_1/3                      11       0.059       0.024     
:beam_block.opt_move_1/3                                            17       0.059       0.032     
:v3_codegen.set_cg/6                                                 1       0.058       0.007     
:erlang.list_to_atom/1                                              25       0.058       0.058     
:dict.maybe_expand_aux/2                                            15       0.058       0.042     
:code.ensure_loaded/1                                                1       0.058       0.001     
:cerl_sets.add_element/2                                            49       0.058       0.058     
:beam_flatten.norm_block/2                                          19       0.058       0.044     
:v3_life.call_op/1                                                   6       0.057       0.028     
:v3_codegen.reserve/3                                               40       0.057       0.055     
:sofs.atoms_only/2                                                  37       0.057       0.057     
:erl_lint.return_status/1                                            2       0.057       0.009     
:erl_lint.initially_reached/1                                        2       0.057       0.009     
:sys_core_fold."-warn_no_clause_match/2-anonymous-1-"/1              7       0.056       0.010     
:io.put_chars/2                                                      1       0.056       0.002     
:beam_dead.shortcut_select_label/4                                   2       0.056       0.004     
:beam_asm.encode_list/3                                              5       0.056       0.018     
:lists.partition/4                                                   8       0.055       0.036     
:lists.duplicate/3                                                  42       0.055       0.055     
:erl_anno.generated/1                                               49       0.055       0.055     
:beam_jump.label_used/2                                             14       0.055       0.040     
:v3_codegen.find_scratch_reg/2                                      24       0.054       0.054     
:sys_core_fold.sub_get_var/2                                        14       0.054       0.039     
:sofs.drestriction/2                                                 2       0.054       0.003     
:maps.from_list/1                                                   45       0.054       0.054     
:lists.umerge2_2/4                                                  10       0.054       0.021     
:io.o_request/3                                                      1       0.054       0.003     
:beam_validator.deallocate/1                                         5       0.054       0.035     
:v3_kernel.call_type/3                                               5       0.053       0.017     
:v3_codegen.unsaved_registers/5                                     10       0.053       0.018     
:sys_core_fold.sub_new/1                                             5       0.053       0.037     
:gb_trees.keys/2                                                    25       0.053       0.053     
:erlang.list_to_binary/1                                            25       0.053       0.053     
:digraph.new/1                                                       1       0.053       0.023     
:beam_validator.validate_src/2                                       2       0.053       0.006     
:beam_utils."-live_opt/1-anonymous-0-"/1                            42       0.053       0.053     
:beam_dict.lambda_table/1                                            2       0.053       0.023     
:beam_dead.shortcut_rel_op_fp/3                                      3       0.053       0.011     
:beam_asm.chunk/2                                                   11       0.053       0.025     
:sys_core_fold.fold_call/5                                           9       0.052       0.016     
:erlang.spawn_opt/1                                                  3       0.052       0.052     
:erlang.demonitor/2                                                 19       0.052       0.052     
:compile.core_passes/0                                               2       0.052       0.008     
:v3_life."-function/1-lc$^0/1-0-"/1                                 11       0.051       0.024     
:v3_kernel.new_clauses/3                                             3       0.051       0.009     
:sofs.drestriction/3                                                 2       0.051       0.009     
:sets.get_slot/2                                                    14       0.051       0.037     
:io.request/2                                                        2       0.051       0.007     
:core_lib.make_values/1                                             45       0.051       0.051     
:compile."-expand_opts/1-anonymous-0-"/2                            16       0.051       0.032     
:beam_lib."-read_all_chunks/1-lc$^0/1-0-"/1                         11       0.051       0.051     
:beam_jump.mark_used_list/2                                         20       0.051       0.043     
:v3_codegen.load_arg_regs/3                                         24       0.050       0.050     
:sys_core_fold.sub_is_val/2                                         12       0.050       0.036     
:lists.foreach/2                                                     7       0.050       0.019     
:ets.lookup/2                                                       30       0.050       0.050     
:beam_validator.merge_y_regs/2                                       3       0.050       0.021     
:beam_dict.import_table/1                                            2       0.050       0.012     
List.to_string/1                                                     3       0.050       0.028     
:v3_codegen.collect_block/1                                         11       0.049       0.034     
:sofs.relation_to_family/1                                           9       0.049       0.031     
:erl_lint."-not_deprecated/2-lc$^0/1-0-"/1                          14       0.049       0.030     
:beam_split.split_block/3                                           19       0.049       0.031     
:beam_asm.build_attributes/4                                         2       0.049       0.020     
:sys_pre_expand.attribute/4                                          7       0.048       0.024     
:sys_core_fold.opt_not_in_let/1                                     10       0.048       0.016     
:ets.insert/2                                                       19       0.048       0.048     
:erl_anno.new_location/1                                            43       0.048       0.048     
:compile."-core_passes/0-anonymous-1-"/1                             2       0.048       0.003     
:beam_jump.insert_fc_labels/2                                       16       0.048       0.040     
String.to_charlist/1                                                 4       0.048       0.014     
:zlib.deflate/3                                                      1       0.047       0.006     
:v3_core.verify_suitable_fields/1                                    7       0.047       0.031     
:filename.separators/0                                               6       0.047       0.020     
:erl_lint.value_option/7                                             2       0.047       0.004     
:compile.compile_options/1                                          14       0.047       0.047     
:v3_life.vdb_find/2                                                 12       0.046       0.031     
:v3_life.atomic/1                                                   26       0.046       0.034     
:v3_core."-uexpr/3-anonymous-4-"/2                                   7       0.046       0.012     
:sys_core_fold.update_types_1/3                                     10       0.046       0.030     
:sys_core_fold.is_compiler_generated/1                               7       0.046       0.032     
:sys_core_fold.is_boolean_type/2                                     7       0.046       0.019     
:lists.unzip/1                                                       5       0.046       0.009     
:lists.umerge2_1/5                                                  14       0.046       0.029     
:filename.basename/4                                                14       0.046       0.026     
:erlang.spawn_monitor/1                                              2       0.046       0.008     
:compile."-asm_passes/0-anonymous-0-"/1                              2       0.046       0.004     
:beam_lib.pread/3                                                   44       0.046       0.046     
:v3_codegen.saves/3                                                 17       0.045       0.028     
:sys_core_fold."-warn_no_clause_match/2-anonymous-0-"/1              7       0.045       0.030     
:orddict.new/0                                                      32       0.045       0.045     
:lists.split_1/5                                                     4       0.045       0.008     
:erl_expand_records.expr/2                                          10       0.045       0.016     
:elixir_aliases.inspect/1                                            1       0.045       0.004     
:compile.select_list_passes/2                                        6       0.045       0.011     
:v3_codegen."-clear_dead_stk/3-lc$^0/1-0-"/3                        42       0.044       0.044     
:sys_core_fold.opt_not_in_let/3                                     14       0.044       0.034     
:sofs.image/2                                                        2       0.044       0.009     
:lists.keysplit_1_1/10                                               3       0.044       0.007     
:erl_lint.compiler_options/1                                         2       0.044       0.007     
:elixir_module.types_form/4                                          1       0.044       0.012     
:compile.kernel_passes/0                                             2       0.044       0.013     
Enum.reduce/3                                                        4       0.044       0.026     
:v3_kernel.arg_con/1                                                41       0.043       0.043     
:v3_core."-new_in_any/1-anonymous-0-"/2                             16       0.043       0.026     
:lists.rumergel/3                                                    7       0.043       0.026     
:erl_lint.unused_vars/3                                              5       0.043       0.020     
:erl_lint.pre_scan/2                                                14       0.043       0.026     
:erl_lint.check_callback_information/1                               2       0.043       0.013     
:erl_lint."-local_functions/1-lc$^0/1-0-"/1                         14       0.043       0.043     
:erl_expand_records.compiler_options/1                               2       0.043       0.007     
:beam_lib.get_chunk/4                                               13       0.043       0.030     
:beam_dead.normalize_op/1                                            7       0.043       0.014     
:v3_kernel.is_var_clause/1                                          11       0.042       0.031     
:sys_core_fold.opt_case_in_let/1                                    10       0.042       0.030     
:sys_core_fold.bsm_an/1                                              7       0.042       0.009     
:orddict.find/2                                                     36       0.042       0.042     
:gb_trees.empty/0                                                   38       0.042       0.042     
:erl_bits.type_to_record/1                                          24       0.042       0.034     
:compile.test_native/1                                               2       0.042       0.004     
:beam_validator.verify_y_init/1                                      5       0.042       0.021     
:v3_kernel."-match_var/4-anonymous-2-"/2                             2       0.041       0.010     
:v3_codegen."-save_stack/4-lc$^0/1-0-"/4                            29       0.041       0.041     
:unicode.characters_to_list/1                                        6       0.041       0.032     
:sys_core_fold.should_suppress_warning/1                             6       0.041       0.026     
:elixir_module.attributes_form/4                                     1       0.041       0.005     
:digraph.add_vertex/2                                                1       0.041       0.002     
:beam_bsm.btb_index_2/4                                              7       0.041       0.017     
:sys_pre_expand.bin_expand_strings/1                                 1       0.040       0.002     
:lists.delete/2                                                     23       0.040       0.040     
:lists.append/1                                                     19       0.040       0.034     
:gb_trees.update_1/3                                                23       0.040       0.040     
:filename.dirname/4                                                 14       0.040       0.031     
:erl_lint.check_functions_without_spec/2                             2       0.040       0.009     
:elixir_module.data_table/1                                          9       0.039       0.024     
:digraph.do_add_vertex/2                                             1       0.039       0.025     
:beam_validator.kill_state/1                                         9       0.039       0.030     
:v3_kernel.select_bin_con_1/1                                        2       0.038       0.009     
:sys_core_dsetel.restore_vars/3                                     18       0.038       0.032     
:sofs.diff_restrict_n/5                                             11       0.038       0.022     
:erl_lint."-start/2-lc$^1/1-1-"/1                                    8       0.038       0.026     
:elixir_compiler.retrieve_module_name/0                              1       0.038       0.002     
:compile.is_native_enabled/1                                        11       0.038       0.038     
:beam_asm.filter_essentials/1                                       16       0.038       0.038     
:sys_pre_expand.module_attrs/1                                       2       0.037       0.014     
:sys_core_fold.make_vars/3                                           7       0.037       0.015     
:sofs.rel/4                                                         27       0.037       0.037     
:proc_lib.spawn_opt/4                                                1       0.037       0.007     
:lists.unzip/3                                                       7       0.037       0.024     
:lists.split_1_1/6                                                   2       0.037       0.006     
:erlang.monitor/2                                                   19       0.037       0.037     
:erl_lint.all_behaviour_callbacks/3                                  2       0.037       0.035     
:erl_expand_records.head/2                                           5       0.037       0.009     
:elixir_def_overridable.store_pending/1                              2       0.037       0.013     
anonymous fn/3 in :dict.store/3                                     12       0.037       0.022     
:compile."-beam_asm/1-lc$^0/1-0-"/1                                  9       0.037       0.026     
:beam_block.move_allocates_1/2                                      23       0.037       0.037     
:v3_kernel.is_remote_bif/3                                           5       0.036       0.021     
:sys_core_fold.fold_call_1/5                                         9       0.036       0.026     
:gen_server.try_handle_call/4                                        2       0.036       0.023     
:erl_lint."-nowarn_function/2-lc$^0/1-0-"/2                         22       0.036       0.036     
:erl_lint."-disallowed_compile_flags/2-lc$^2/1-2-"/2                14       0.036       0.036     
:cerl.data_es/1                                                      5       0.036       0.015     
:beam_validator.val_dsetel/2                                        29       0.036       0.036     
:v3_core."-uexpr/3-anonymous-0-"/2                                   4       0.035       0.009     
:v3_codegen.fetch_var/2                                              7       0.035       0.024     
:v3_codegen."-unsaved_registers/5-lc$^0/1-0-"/5                     18       0.035       0.027     
:lists.rkeymergel/4                                                  4       0.035       0.010     
:io.execute_request/2                                                1       0.035       0.009     
:cerl_clauses.match_list/3                                           9       0.035       0.018     
:sys_pre_expand."-bin_expand_strings/1-anonymous-1-"/2               1       0.034       0.002     
:filename.pathtype/1                                                 4       0.034       0.013     
:erl_lint.expr_list/3                                                1       0.034       0.002     
:erl_lint."-bif_clashes/2-lc$^0/1-0-"/1                             14       0.034       0.030     
