Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:beam_validator.init_regs/2                                          7       0.068       0.023     
:beam_block.opt_moves/2                                             14       0.068       0.027     
:erl_lint.disallowed_compile_flags/2                                 2       0.067       0.012     
:erl_lint.check_specs_without_function/1                             2       0.067       0.002     
:erl_lint."-start/2-lc$^0/1-0-"/1                                   30       0.067       0.067     
:beam_validator.labels_1/2                                          35       0.067       0.053     
:beam_dict."-atom_table/1-lc$^0/1-0-"/1                             16       0.067       0.053     
:proplists.get_value/3                                              58       0.066       0.066     
:beam_type.flt_liveness_1/3                                         19       0.066       0.030     
:v3_kernel.partition/1                                               6       0.065       0.018     
:orddict.merge/3                                                    45       0.065       0.049     
:elixir_errors.warn/1                                                1       0.065       0.003     
:dict.from_list/1                                                    2       0.065       0.005     
:elixir_module.add_info_function/6                                   1       0.064       0.007     
:compile."-core_passes/0-anonymous-3-"/1                             2       0.064       0.002     
:beam_utils.x_live/2                                                64       0.064       0.064     
:v3_kernel."-pattern_list/4-anonymous-0-"/3                          9       0.063       0.018     
:proplists.get_value/2                                              13       0.063       0.013     
:lists.duplicate/3                                                  42       0.063       0.063     
:gb_trees.update/3                                                  17       0.063       0.034     
:dict.maybe_expand/2                                                15       0.063       0.016     
:cerl.get_ann/1                                                     63       0.063       0.063     
:v3_kernel."-match_pre/3-anonymous-0-"/3                             5       0.062       0.010     
:sys_core_fold."-pattern_list/3-anonymous-0-"/3                      7       0.062       0.007     
:gb_trees.to_list/2                                                 33       0.062       0.062     
:erl_lint.head/3                                                     5       0.062       0.005     
:erl_lint.check_unused_types/2                                       2       0.062       0.012     
:elixir_utils.characters_to_list/1                                   4       0.062       0.009     
:dict.append/3                                                       3       0.062       0.009     
:compile.test_old_inliner/1                                          4       0.062       0.004     
:beam_opcodes.opcode/2                                              59       0.062       0.062     
:beam_dead.shortcut_rel_op/4                                         4       0.062       0.008     
:v3_codegen.gen_moves/2                                             10       0.061       0.010     
:sys_core_fold.shadow_warning/2                                     13       0.061       0.019     
:v3_core.new_vars/3                                                  7       0.060       0.007     
:v3_core.lit_vars/2                                                 37       0.060       0.037     
:sys_core_fold.simplify_let/2                                       10       0.060       0.030     
:sys_core_fold.let_subst_list/3                                     14       0.060       0.034     
:elixir_locals.ensure_no_import_conflict/4                           1       0.060       0.001     
:cerl_clauses.match_1/3                                              8       0.060       0.029     
:cerl.ann_c_tuple/2                                                  9       0.060       0.026     
:beam_asm.finalize_fun_table/2                                       2       0.060       0.006     
Module.LocalsTracker.reduce_unreachable/3                            1       0.060       0.001     
:v3_codegen.basic_block/2                                           11       0.059       0.023     
:os.type/0                                                          18       0.059       0.040     
:beam_type.opt_fmoves/2                                             35       0.059       0.035     
:beam_type.flt_need_heap_2/3                                        27       0.059       0.043     
:beam_jump.eliminate_fallthroughs/2                                 59       0.059       0.059     
:v3_core.new_var_name/1                                              8       0.058       0.033     
:maps.find/2                                                        58       0.058       0.058     
:lists.flatten/1                                                    14       0.058       0.015     
:erl_anno.reset_simplify/1                                          28       0.058       0.030     
:ordsets.subtract/2                                                 57       0.057       0.057     
:erl_lint.head/4                                                     9       0.057       0.025     
:sys_core_fold."-let_substs/3-anonymous-1-"/2                        4       0.056       0.004     
:io.put_chars/2                                                      1       0.056       0.001     
:erlang.port_control/3                                               3       0.056       0.007     
:beam_validator.validate_src/2                                       2       0.056       0.003     
:sys_core_fold."-case_will_var_match/1-anonymous-0-"/1               6       0.055       0.012     
:sets.filter_bkt_list/4                                             17       0.055       0.036     
:lists.foreach/2                                                     7       0.055       0.011     
:io.o_request/3                                                      1       0.055       0.002     
:beam_dict.line/2                                                   12       0.055       0.033     
:beam_block.opt_tuple_element/1                                     32       0.055       0.055     
:zlib.deflateInit/2                                                  1       0.054       0.003     
:v3_core.force_safe/2                                               18       0.054       0.036     
:erl_lint.check_deprecated/2                                         2       0.054       0.009     
:dict.get_bucket/2                                                  26       0.054       0.027     
:beam_lib.del_chunk/2                                               18       0.054       0.021     
:io.request/2                                                        2       0.053       0.004     
:erl_lint.expr_bin/4                                                 1       0.053       0.002     
:elixir_module.specs_form/5                                          1       0.053       0.014     
:compile."-standard_passes/0-anonymous-0-"/1                         2       0.053       0.002     
:beam_block.opt_alloc/1                                             28       0.053       0.050     
:sys_core_fold.sub_set_name/3                                        4       0.052       0.028     
:lists.partition/2                                                   8       0.052       0.010     
:erl_expand_records.exprs/2                                         10       0.052       0.020     
anonymous fn/4 in :elixir_locals.ensure_no_import_conflict/4         1       0.052       0.003     
:beam_z.undo_rename/1                                               52       0.052       0.052     
:beam_asm."-finalize_fun_table/2-lc$^0/1-0-"/2                      14       0.052       0.040     
:beam_asm."-build_file/8-lc$^0/1-0-"/1                              14       0.052       0.040     
:v3_core."-used_in_any/1-anonymous-0-"/2                            25       0.051       0.026     
:v3_codegen.gen_moves/4                                             24       0.051       0.028     
:compile.transform_module/1                                          2       0.051       0.013     
:v3_codegen.reserve/3                                               40       0.050       0.048     
:sys_core_fold.sub_add_scope/2                                      10       0.050       0.030     
:beam_lib.pread/3                                                   44       0.050       0.050     
:beam_clean."-replace/3-anonymous-0-"/2                             12       0.050       0.018     
:v3_codegen.local_func_label/2                                       7       0.049       0.021     
:erts_internal.port_control/3                                        3       0.049       0.049     
:erl_anno.is_settable/2                                             28       0.049       0.030     
:erl_anno.generated/1                                               49       0.049       0.049     
:cerl_sets.add_element/2                                            49       0.049       0.049     
:beam_utils.x_dead/2                                                49       0.049       0.049     
:erlang.list_to_atom/1                                              25       0.048       0.048     
anonymous fn/4 in :erl_lint.expr_bin/4                               1       0.048       0.001     
:erl_lint."-check_option_functions/4-lc$^1/1-1-"/4                  12       0.048       0.012     
:compile."-messages_per_file/1-anonymous-3-"/2                       6       0.048       0.008     
:beam_dead.shortcut_select_list/4                                    3       0.048       0.005     
Module.LocalsTracker.collect_imports_conflicts/2                     1       0.048       0.003     
:v3_kernel.select_bin_con/1                                          2       0.047       0.004     
:sys_core_fold.is_bool_expr/2                                        7       0.047       0.014     
:erl_lint.bin_element/4                                              1       0.047       0.007     
:dict.maybe_expand_aux/2                                            15       0.047       0.032     
anonymous fn/2 in :dict.from_list/1                                  2       0.047       0.002     
:maps.from_list/1                                                   45       0.046       0.046     
:beam_dict.line_table/1                                              2       0.046       0.020     
Module.LocalsTracker.init/1                                          1       0.046       0.005     
:v3_kernel.pattern/4                                                 9       0.045       0.027     
:io.execute_request/2                                                1       0.045       0.019     
:core_lib.make_values/1                                             45       0.045       0.045     
:sets.get_slot/2                                                    14       0.044       0.030     
:lists.keysplit_1/8                                                  9       0.044       0.011     
:lists.flatmap/2                                                     7       0.044       0.021     
:erl_lint.local_functions/1                                          2       0.044       0.004     
:beam_validator."-validate_src/2-anonymous-0-"/2                     3       0.044       0.005     
:v3_codegen.set_cg/6                                                 1       0.043       0.006     
:proplists.get_bool/2                                               40       0.043       0.043     
:gb_trees.keys/1                                                     7       0.043       0.007     
:filename.separators/0                                               6       0.043       0.024     
:erl_lint.check_unused_vars/3                                        5       0.043       0.010     
:erl_anno.new_location/1                                            43       0.043       0.043     
:beam_jump.label_used/2                                             14       0.043       0.031     
:beam_dict.lambda_table/1                                            2       0.043       0.017     
:v3_kernel.op_vars/1                                                 6       0.042       0.012     
:v3_kernel."-uexpr/3-anonymous-15-"/2                               10       0.042       0.021     
:v3_codegen."-clear_dead_stk/3-lc$^0/1-0-"/3                        42       0.042       0.042     
:sys_core_fold.sub_get_var/2                                        14       0.042       0.028     
:sys_core_fold.add_warning/2                                         6       0.042       0.012     
:sys_core_fold."-warn_no_clause_match/2-anonymous-1-"/1              7       0.042       0.007     
:lists.partition/4                                                   8       0.042       0.026     
:lists.do_flatten/2                                                 28       0.042       0.042     
:erlang.spawn_opt/1                                                  3       0.042       0.042     
:erl_anno.to_term/1                                                 42       0.042       0.042     
:beam_validator.validate_fun_info_branches_1/3                      11       0.042       0.017     
:beam_validator.get_move_term_type/2                                11       0.042       0.022     
:beam_utils."-live_opt/1-anonymous-0-"/1                            42       0.042       0.042     
:zlib.deflate/3                                                      1       0.041       0.005     
:v3_kernel.arg_con/1                                                41       0.041       0.041     
:v3_codegen.enter_line/3                                             6       0.041       0.018     
:sofs.atoms_only/2                                                  37       0.041       0.041     
:erl_lint.bif_clashes/2                                              2       0.041       0.010     
:beam_flatten.norm_block/2                                          19       0.041       0.030     
:beam_block.opt_move_1/3                                            17       0.041       0.021     
:sys_core_fold.guard/2                                              10       0.040       0.020     
:erlang.binary_to_list/1                                            38       0.040       0.040     
:erl_lint.return_status/1                                            2       0.040       0.006     
:erl_lint.nowarn_function/2                                          4       0.040       0.009     
:code.ensure_loaded/1                                                1       0.040       0.001     
:beam_utils.live_join_labels/3                                      12       0.040       0.018     
:beam_lib.get_chunk/4                                               13       0.040       0.027     
:beam_jump.insert_fc_labels/2                                       16       0.040       0.032     
:beam_dead.shortcut_select_label/4                                   2       0.040       0.002     
:v3_kernel.new_clauses/3                                             3       0.039       0.006     
:elixir_compiler.retrieve_module_name/0                              1       0.039       0.002     
:compile."-beam_asm/1-lc$^0/1-0-"/1                                  9       0.039       0.032     
:v3_codegen.load_arg_regs/3                                         24       0.038       0.038     
:sys_core_fold.opt_not_in_let/1                                     10       0.038       0.014     
:gb_trees.empty/0                                                   38       0.038       0.038     
:erlang.spawn_monitor/1                                              2       0.037       0.005     
:erlang.demonitor/2                                                 19       0.037       0.037     
:beam_asm.chunk/2                                                   11       0.037       0.019     
:v3_life.vdb_find/2                                                 12       0.036       0.024     
:sys_core_fold.sub_is_val/2                                         12       0.036       0.024     
:sys_core_fold.fold_call/5                                           9       0.036       0.009     
:orddict.find/2                                                     36       0.036       0.036     
:gb_trees.keys/2                                                    25       0.036       0.036     
:elixir_module.types_form/4                                          1       0.036       0.010     
:elixir_module.data_table/1                                          9       0.036       0.025     
:beam_jump.mark_used_list/2                                         20       0.036       0.028     
:v3_kernel.call_type/3                                               5       0.035       0.010     
:v3_codegen.collect_block/1                                         11       0.035       0.023     
:sys_pre_expand.attribute/4                                          7       0.035       0.017     
:sys_core_fold.is_compiler_generated/1                               7       0.035       0.021     
:sys_core_fold."-warn_no_clause_match/2-anonymous-0-"/1              7       0.035       0.021     
:proplists.delete/2                                                 11       0.035       0.035     
:lists.umerge2_2/4                                                  10       0.035       0.013     
:erl_lint.initially_reached/1                                        2       0.035       0.006     
:beam_validator.deallocate/1                                         5       0.035       0.020     
:v3_codegen.saves/3                                                 17       0.034       0.017     
:sys_core_fold.opt_not_in_let/3                                     14       0.034       0.024     
:lists.keysplit_1_1/10                                               3       0.034       0.004     
:compile."-expand_opts/1-anonymous-0-"/2                            16       0.034       0.018     
:v3_kernel.is_var_clause/1                                          11       0.033       0.022     
:v3_core."-new_in_any/1-anonymous-0-"/2                             16       0.033       0.017     
:sys_core_fold.is_boolean_type/2                                     7       0.033       0.014     
:lists.delete/2                                                     23       0.033       0.033     
:compile."-core_passes/0-anonymous-1-"/1                             2       0.033       0.002     
:beam_split.split_block/3                                           19       0.033       0.019     
:beam_bsm.btb_index_2/4                                              7       0.033       0.016     
:beam_asm.encode_list/3                                              5       0.033       0.009     
:orddict.new/0                                                      32       0.032       0.032     
:lists.unzip/1                                                       5       0.032       0.005     
:lists.append/1                                                     19       0.032       0.028     
:ets.lookup/2                                                       30       0.032       0.032     
:erl_lint.value_option/7                                             2       0.032       0.002     
:erl_lint.compiler_options/1                                         2       0.032       0.004     
:erl_expand_records.expr/2                                          10       0.032       0.012     
:elixir_def_overridable.store_pending/1                              2       0.032       0.009     
:beam_lib.pad/1                                                     11       0.032       0.011     
IO.chardata_to_string/1                                             12       0.032       0.013     
:v3_core.verify_suitable_fields/1                                    7       0.031       0.019     
:sys_core_fold.update_types_1/3                                     10       0.031       0.017     
:lists.umerge2_1/5                                                  14       0.031       0.018     
:erl_lint."-not_deprecated/2-lc$^0/1-0-"/1                          14       0.031       0.018     
:erl_lint."-disallowed_compile_flags/2-lc$^2/1-2-"/2                14       0.031       0.031     
:beam_dead.shortcut_rel_op_fp/3                                      3       0.031       0.009     
:v3_life.call_op/1                                                   6       0.030       0.018     
:v3_kernel."-match_var/4-anonymous-2-"/2                             2       0.030       0.008     
:v3_core."-uexpr/3-anonymous-4-"/2                                   7       0.030       0.007     
:sys_core_fold.should_suppress_warning/1                             6       0.030       0.018     
:sys_core_fold.opt_case_in_let/1                                    10       0.030       0.020     
:sys_core_dsetel.restore_vars/3                                     18       0.030       0.024     
:sofs.rel/4                                                         27       0.030       0.029     
:sofs.drestriction/2                                                 2       0.030       0.002     
:v3_codegen."-save_stack/4-lc$^0/1-0-"/4                            29       0.029       0.029     
:lists.rumergel/3                                                    7       0.029       0.015     
:lists.rkeymergel/4                                                  4       0.029       0.008     
:gb_trees.update_1/3                                                23       0.029       0.029     
:filename.pathtype/1                                                 4       0.029       0.010     
:erlang.monitor/2                                                   19       0.029       0.029     
:elixir_aliases.inspect/1                                            1       0.029       0.002     
:compile.select_list_passes/2                                        6       0.029       0.008     
:beam_validator.val_dsetel/2                                        29       0.029       0.029     
:v3_codegen.unsaved_registers/5                                     10       0.028       0.010     
:sys_pre_expand.module_attrs/1                                       2       0.028       0.010     
:sys_core_fold.bsm_an/1                                              7       0.028       0.007     
:sofs.relation_to_family/1                                           9       0.028       0.019     
:sofs.image/2                                                        2       0.028       0.006     
:sofs.drestriction/3                                                 2       0.028       0.006     
:proc_lib.spawn_opt/4                                                1       0.028       0.004     
:ets.insert/2                                                       19       0.028       0.028     
:erl_lint.unused_vars/3                                              5       0.028       0.010     
:erl_lint.pre_scan/2                                                14       0.028       0.017     
:erl_expand_records.head/2                                           5       0.028       0.005     
:erl_expand_records.compiler_options/1                               2       0.028       0.004     
:erl_anno.simplify/1                                                28       0.028       0.028     
:erl_anno.default/2                                                 28       0.028       0.028     
:elixir_module.attributes_form/4                                     1       0.028       0.004     
:beam_validator."-index_bs_start_match/2-anonymous-0-"/2            28       0.028       0.028     
:v3_life.vdb_update/3                                               26       0.027       0.027     
:sys_core_fold.make_vars/3                                           7       0.027       0.012     
:sys_core_fold.fold_call_1/5                                         9       0.027       0.018     
:lists.unzip/3                                                       7       0.027       0.017     
:io_lib_format.pcount/1                                              2       0.027       0.002     
:erl_lint.check_callback_information/1                               2       0.027       0.008     
:dict.get_bucket_s/2                                                26       0.027       0.027     
:compile.standard_passes/0                                           2       0.027       0.006     
:beam_validator.verify_y_init/1                                      5       0.027       0.010     
:beam_validator.kill_state/1                                         9       0.027       0.018     
:beam_asm.filter_essentials/1                                       16       0.027       0.027     
:v3_life.atomic/1                                                   26       0.026       0.026     
:v3_kernel.is_atomic/1                                              26       0.026       0.026     
:erl_lint.check_functions_without_spec/2                             2       0.026       0.006     
:erl_bits.type_to_record/1                                          24       0.026       0.025     
anonymous fn/3 in :dict.store/3                                     12       0.026       0.014     
:beam_dead.normalize_op/1                                            7       0.026       0.008     
:beam_asm.build_attributes/4                                         2       0.026       0.010     
:v3_kernel.is_remote_bif/3                                           5       0.025       0.015     
:sys_core_fold.sub_new/1                                             5       0.025       0.015     
:io_lib_format.pcount/2                                             25       0.025       0.025     
:filename.dirname/4                                                 14       0.025       0.019     
:beam_lib."-read_all_chunks/1-lc$^0/1-0-"/1                         11       0.025       0.022     
:v3_kernel.select_bin_con_1/1                                        2       0.024       0.006     
:v3_core.upattern/3                                                 10       0.024       0.017     
:v3_codegen.save_carefully/4                                         2       0.024       0.008     
:v3_codegen.line/1                                                  19       0.024       0.020     
:v3_codegen.find_scratch_reg/2                                      24       0.024       0.024     
:sys_pre_expand.bin_expand_strings/1                                 1       0.024       0.001     
:sys_core_fold."-case_opt_args/5-lc$^0/1-0-"/1                      14       0.024       0.024     
:maps.size/1                                                        24       0.024       0.024     
:lists.split_1/5                                                     4       0.024       0.004     
:erl_lint.pack_warnings/1                                            4       0.024       0.012     
:elixir_locals.cleanup/1                                             1       0.024       0.001     
:dict.mk_seg/1                                                      24       0.024       0.024     
:binary.split/3                                                      6       0.024       0.024     
:beam_type.tdb_find/2                                                8       0.024       0.016     
:beam_type.flt_alloc/2                                              24       0.024       0.024     
:beam_bsm.drop_to_label/2                                           21       0.024       0.024     
:v3_codegen.select_labels/4                                          4       0.023       0.010     
:sys_pre_expand.pattern_list/2                                      10       0.023       0.018     
:sofs.family_specification/2                                         2       0.023       0.019     
:sets.new/0                                                          7       0.023       0.016     
:ets.lookup_element/3                                               20       0.023       0.023     
:erlang.send/3                                                      14       0.023       0.023     
:erl_lint.expr_list/3                                                1       0.023       0.001     
:erl_lint."-nowarn_function/2-lc$^0/1-0-"/2                         22       0.023       0.023     
:erl_expand_records.pattern_list/2                                  10       0.023       0.018     
:elixir_locals.if_tracker/2                                          1       0.023       0.001     
:cerl_sets.new/0                                                    23       0.023       0.023     
:beam_block.move_allocates_1/2                                      23       0.023       0.023     
String.to_charlist/1                                                 4       0.023       0.009     
:v3_life."-expr/3-lc$^0/1-10-"/1                                    10       0.022       0.018     
:v3_kernel.lit_vars/1                                               19       0.022       0.021     
:v3_codegen.move_unsaved/3                                          10       0.022       0.010     
:v3_codegen.fetch_var/2                                              7       0.022       0.014     
:sets.maybe_expand/2                                                 7       0.022       0.014     
:erl_lint.pack_errors/1                                              2       0.022       0.006     
:erl_lint."-bif_clashes/2-lc$^0/1-0-"/1                             14       0.022       0.019     
:digraph.add_vertex/2                                                1       0.022       0.001     
:cerl.type/1                                                        22       0.022       0.022     
:beam_type.x_live/2                                                 22       0.022       0.022     
:v3_kernel."-new_clauses/3-anonymous-3-"/2                           3       0.021       0.012     
:v3_codegen.sr_merge/2                                               5       0.021       0.013     
:sys_core_fold.bsm_an_1/2                                            2       0.021       0.004     
:proc_lib.exit_p/2                                                   1       0.021       0.004     
:lists.usplit_1/5                                                    9       0.021       0.009     
:lists.filter/2                                                      3       0.021       0.003     
:filename.basename/4                                                14       0.021       0.015     
:elixir_module.get_typespec/2                                        7       0.021       0.014     
:digraph.do_add_vertex/2                                             1       0.021       0.008     
:compile.core_passes/0                                               2       0.021       0.005     
:compile."-asm_passes/0-anonymous-0-"/1                              2       0.021       0.004     
:beam_validator.kill_heap_allocation/1                               7       0.021       0.014     
:beam_jump.drop_upto_label/1                                        21       0.021       0.021     
:beam_dead.shortcut_bs_test/3                                        3       0.021       0.006     
:v3_core."-lit_list_vars/2-anonymous-0-"/2                           8       0.020       0.008     
:unicode.characters_to_list/1                                        6       0.020       0.014     
:sys_pre_expand."-bin_expand_strings/1-anonymous-1-"/2               1       0.020       0.001     
:sys_core_fold.update_let_types/3                                   10       0.020       0.010     
:sys_core_dsetel.visit_pats/3                                       10       0.020       0.015     
:sofs.diff_restrict_n/5                                             11       0.020       0.011     
:lists.split_1_1/6                                                   2       0.020       0.002     
:erl_lint.vtmerge_pat/2                                             10       0.020       0.010     
:erl_lint.check_imports/2                                            2       0.020       0.004     
:erl_lint."-compiler_options/1-lc$^0/1-0-"/1                        14       0.020       0.020     
:erl_expand_records.optimize_is_record/3                             5       0.020       0.010     
:cerl_clauses.match_list/2                                           8       0.020       0.008     
:beam_validator.merge_y_regs/2                                       3       0.020       0.011     
:beam_utils.live_join_label/3                                        4       0.020       0.008     
:beam_dict.fname/2                                                   4       0.020       0.014     
:beam_block.is_killed_or_used/2                                      4       0.020       0.012     
Inspect.Atom.inspect/1                                               1       0.020       0.005     
Enum.reduce/3                                                        4       0.020       0.005     
:v3_kernel."-match_con/4-lc$^0/1-0-"/1                               3       0.019       0.007     
:v3_core."-uexpr/3-anonymous-5-"/2                                   8       0.019       0.008     
:sys_pre_expand.expr_list/2                                          5       0.019       0.014     
:sys_core_fold.get_type/2                                            7       0.019       0.013     
:lists.rkeymerge2_1/6                                                8       0.019       0.010     
:gen_server.cast/2                                                   2       0.019       0.002     
:erlang.system_info/1                                               18       0.019       0.019     
:erl_lint."-not_deprecated/2-lc$^1/1-1-"/3                           4       0.019       0.005     
:erl_anno.is_filename/1                                             19       0.019       0.019     
:digraph.new/1                                                       1       0.019       0.006     
:compile."-messages_per_file/1-anonymous-5-"/1                       4       0.019       0.006     
:compile."-core_passes/0-anonymous-7-"/1                             2       0.019       0.002     
:cerl_clauses.match_list/3                                           9       0.019       0.012     
:cerl.is_lit_list/1                                                 17       0.019       0.019     
List.to_string/1                                                     3       0.019       0.007     
:v3_kernel.pre_seq/2                                                17       0.018       0.018     
:v3_kernel."-op_vars/1-lc$^0/1-0-"/1                                18       0.018       0.018     
:v3_core.uguard/4                                                   16       0.018       0.017     
:v3_core.is_safe/1                                                  18       0.018       0.018     
:v3_codegen.need_heap_1/2                                           18       0.018       0.018     
:v3_codegen.build_enter/3                                            6       0.018       0.012     
:v3_codegen."-unsaved_registers/5-lc$^0/1-0-"/5                     18       0.018       0.018     
:lists.rmergel/2                                                     2       0.018       0.004     
:lists."-filter/2-lc$^0/1-0-"/2                                      6       0.018       0.009     
:eval_bits.eval_exp_field1/6                                         6       0.018       0.012     
:erl_lint.check_untyped_records/2                                    2       0.018       0.004     
:elixir_def_overridable.overridable/1                                2       0.018       0.006     
:compile.compile_options/1                                          14       0.018       0.018     
:compile."-test_old_inliner/1-anonymous-0-"/1                       18       0.018       0.018     
:compile."-test_core_inliner/1-anonymous-1-"/1                      18       0.018       0.018     
:compile."-test_core_inliner/1-anonymous-0-"/1                      18       0.018       0.018     
:v3_life."-function/1-lc$^0/1-0-"/1                                 11       0.017       0.016     
:v3_kernel.expand_pat_lit_clause/2                                   3       0.017       0.009     
:v3_codegen."-saves/3-lc$^0/1-0-"/3                                 17       0.017       0.017     
:v3_codegen."-save_stack/4-lc$^1/1-1-"/1                            17       0.017       0.017     
:unicode.characters_to_binary/1                                      4       0.017       0.010     
:sys_core_fold.bsm_leftmost_1/2                                      7       0.017       0.007     
:io_lib_format.field_width/2                                         4       0.017       0.009     
:gen_server.do_cast/2                                                2       0.017       0.007     
:erlang.iolist_to_binary/1                                          17       0.017       0.017     
:erlang.atom_to_list/1                                              16       0.017       0.017     
:erl_lint.vtmerge/1                                                  1       0.017       0.001     
:erl_lint."-start/2-lc$^1/1-1-"/1                                    8       0.017       0.016     
:erl_lint."-local_functions/1-lc$^0/1-0-"/1                         14       0.017       0.017     
anonymous fn/3 in :erl_lint.expr_list/3                              2       0.017       0.006     
:erl_lint."-check_unused_functions/2-lc$^0/1-0-"/1                  14       0.017       0.017     
:erl_expand_records.expr_list/2                                      5       0.017       0.013     
:compile.test_native/1                                               2       0.017       0.003     
:compile.core_transforms/1                                           2       0.017       0.004     
:beam_dict.new/0                                                     2       0.017       0.008     
:beam_dead.normalize_op_1/3                                          3       0.017       0.010     
:beam_bsm.btb_index_find_start_match/1                               7       0.017       0.008     
:v3_kernel.handle_reuse_annos/2                                      2       0.016       0.002     
:v3_kernel."-ubody/3-anonymous-1-"/2                                 4       0.016       0.008     
:v3_core.lit_list_vars/2                                             4       0.016       0.004     
:v3_core.cguard/2                                                   16       0.016       0.016     
:v3_codegen.collect_chain/4                                         16       0.016       0.016     
:sys_pre_expand."-module/2-lc$^0/1-0-"/1                            14       0.016       0.016     
:sys_core_dsetel."-visit/2-anonymous-4-"/2                           8       0.016       0.008     
:sofs.restrict/2                                                     2       0.016       0.002     
:sofs.diff_restrict_n/6                                              7       0.016       0.007     
:sets.filter_bucket/4                                               16       0.016       0.016     
:orddict.store/3                                                    16       0.016       0.016     
:erl_lint.pattern/5                                                  4       0.016       0.007     
:erl_lint.check_undefined_types/1                                    2       0.016       0.006     
:erl_lint.bit_type/4                                                 1       0.016       0.002     
anonymous fn/3 in :erl_lint.vtupdate/2                               2       0.016       0.006     
:erl_lint."-check_unused_types/2-lc$^0/1-0-"/1                      14       0.016       0.016     
:erl_lint."-check_unused_records/2-lc$^0/1-0-"/1                    14       0.016       0.016     
:erl_expand_records."-compiler_options/1-lc$^0/1-0-"/1              14       0.016       0.016     
anonymous fn/2 in :elixir_module.add_info_function/6                 8       0.016       0.011     
:elixir_compiler.return_module_name/1                                1       0.016       0.003     
:compile.kernel_passes/0                                             2       0.016       0.008     
:compile.expand_opt/2                                               16       0.016       0.016     
:code.which/1                                                        1       0.016       0.003     
:cerl.update_c_clause/4                                             16       0.016       0.016     
:cerl.is_data/1                                                     16       0.016       0.016     
:cerl.clause_pats/1                                                 16       0.016       0.016     
:cerl.clause_guard/1                                                16       0.016       0.016     
:cerl.clause_body/1                                                 16       0.016       0.016     
:beam_clean."-rootset/3-lc$^0/1-0-"/1                                9       0.016       0.016     
:beam_clean."-module/2-lc$^0/1-0-"/1                                 9       0.016       0.016     
:v3_life."-function/1-lc$^0/1-1-"/1                                 11       0.015       0.015     
:v3_life."-expr/3-lc$^0/1-6-"/3                                     11       0.015       0.015     
:v3_kernel."-partition/1-anonymous-0-"/2                             3       0.015       0.006     
:v3_codegen.extend_stack/4                                           1       0.015       0.006     
:v3_codegen.combine/1                                                9       0.015       0.014     
:sys_core_fold.bsm_leftmost_2/4                                     10       0.015       0.010     
:sofs.to_external/1                                                 15       0.015       0.015     
:sofs.relative_product1/2                                            2       0.015       0.006     
:sets.get_bucket/2                                                   7       0.015       0.008     
:ordsets.add_element/2                                              15       0.015       0.015     
:gen_server.handle_common_reply/6                                    1       0.015       0.003     
:filename.basename1/3                                               14       0.015       0.015     
:erl_lint."-disallowed_compile_flags/2-lc$^0/1-0-"/2                14       0.015       0.015     
:erl_lint."-check_deprecated/2-lc$^0/1-0-"/3                        14       0.015       0.015     
:erl_bifs.is_exit_bif/3                                             15       0.015       0.015     
anonymous fn/1 in :elixir_locals.cleanup/1                           1       0.015       0.003     
Enum."-reduce/3-lists^foldl/2-0-"/3                                  5       0.015       0.007     
:zlib.open/0                                                         1       0.014       0.002     
:v3_kernel."-handle_reuse_annos/2-lc$^0/1-0-"/2                      4       0.014       0.008     
:v3_core."-uexpr/3-anonymous-0-"/2                                   4       0.014       0.005     
:v3_codegen.load_vars/2                                              7       0.014       0.007     
:sys_core_fold.sub_subst_var/3                                       4       0.014       0.008     
:sys_core_fold.make_var_name/0                                       2       0.014       0.008     
:sofs.restrict/4                                                     9       0.014       0.009     
anonymous fn/2 in :sets.add_element/2                                7       0.014       0.007     
:proc_lib.make_dummy_args/2                                          2       0.014       0.007     
:ets.select/2                                                        4       0.014       0.014     
:ets.new/2                                                           6       0.014       0.014     
:erlang.list_to_tuple/1                                             14       0.014       0.014     
:erlang.--/2                                                        14       0.014       0.014     
:erl_lint.func_line_error/3                                          6       0.014       0.007     
:elixir_def_overridable.setup/1                                      1       0.014       0.003     
:dict.fetch_val/2                                                   14       0.014       0.014     
:compile.objfile/2                                                   2       0.014       0.003     
